Camera Localization Data & Odometric Encoder ticks
 time | pose.x | pose.y | pose.z | cov[1,1] | cov[1,2] | cov[1,3] | cov[2,1] | cov[2,2] | cov[2,3] | cov[3,1] | cov[3,2] | cov[3,3]	|	Left_Tick	| Right_Tick
1128 | 16.0434 | -30.3624 | -1.58025 | 2.21621 | -0.140922 | -0.0109687 | -0.140922 | 1.03059 | 0.00128352 | -0.0109687 | 0.00128352 | 0.00050016 | 3 | 1 | 
1199 | 16.0367 | -30.3814 | -1.58008 | 2.21657 | -0.140963 | -0.0109703 | -0.140963 | 1.03059 | 0.0012837 | -0.0109703 | 0.0012837 | 0.00050016 | 3 | 1 | 
1327 | 16.055 | -30.3799 | -1.58051 | 2.21669 | -0.140911 | -0.0109709 | -0.140911 | 1.03058 | 0.00128316 | -0.0109709 | 0.00128316 | 0.00050016 | 3 | 1 | 
1389 | 16.0129 | -30.3767 | -1.57957 | 2.21628 | -0.141037 | -0.010969 | -0.141037 | 1.03062 | 0.00128453 | -0.010969 | 0.00128453 | 0.00050016 | 3 | 1 | 
1512 | 16.0277 | -30.3694 | -1.57985 | 2.21622 | -0.140961 | -0.0109687 | -0.140961 | 1.0306 | 0.00128387 | -0.0109687 | 0.00128387 | 0.00050016 | 3 | 1 | 
1575 | 16.0381 | -30.3754 | -1.58008 | 2.21644 | -0.14094 | -0.0109697 | -0.14094 | 1.03059 | 0.00128356 | -0.0109697 | 0.00128356 | 0.00050016 | 3 | 1 | 
1701 | 16.0295 | -30.3748 | -1.57995 | 2.21638 | -0.140988 | -0.0109694 | -0.140988 | 1.03061 | 0.00128403 | -0.0109694 | 0.00128403 | 0.00050016 | 3 | 1 | 
1824 | 16.0475 | -30.3769 | -1.58036 | 2.21657 | -0.140936 | -0.0109703 | -0.140936 | 1.03059 | 0.00128346 | -0.0109703 | 0.00128346 | 0.00050016 | 3 | 1 | 
1889 | 16.0447 | -30.3733 | -1.58034 | 2.21648 | -0.140957 | -0.0109699 | -0.140957 | 1.0306 | 0.00128369 | -0.0109699 | 0.00128369 | 0.00050016 | 3 | 1 | 
2131 | 16.033 | -30.3726 | -1.57999 | 2.21634 | -0.140957 | -0.0109693 | -0.140957 | 1.0306 | 0.00128377 | -0.0109693 | 0.00128377 | 0.00050016 | 3 | 1 | 
