n_time      pose_x     pose_y  pose_theta    cov_11    cov_12    cov_13    cov_21     cov_22    cov_23    cov_31    cov_32    cov_33   tick_L   tick_R
  1128   16.043400  -30.36240    1.580250   2.21621 -0.140922 -0.010969 -0.140922   1.030590  0.001284 -0.010969  0.001284  0.000500       -3        1
  1199   16.036700  -30.38140    1.580080   2.21657 -0.140963 -0.010970 -0.140963   1.030590  0.001284 -0.010970  0.001284  0.000500       -3        1
  1327   16.055000  -30.37990    1.580510   2.21669 -0.140911 -0.010971 -0.140911   1.030580  0.001283 -0.010971  0.001283  0.000500       -3        1
  1389   16.012900  -30.37670    1.579570   2.21628 -0.141037 -0.010969 -0.141037   1.030620  0.001285 -0.010969  0.001285  0.000500       -3        1
  1512   16.027700  -30.36940    1.579850   2.21622 -0.140961 -0.010969 -0.140961   1.030600  0.001284 -0.010969  0.001284  0.000500       -3        1
  1575   16.038100  -30.37540    1.580080   2.21644 -0.140940 -0.010970 -0.140940   1.030590  0.001284 -0.010970  0.001284  0.000500       -3        1
  1701   16.029500  -30.37480    1.579950   2.21638 -0.140988 -0.010969 -0.140988   1.030610  0.001284 -0.010969  0.001284  0.000500       -3        1
  1824   16.047500  -30.37690    1.580360   2.21657 -0.140936 -0.010970 -0.140936   1.030590  0.001283 -0.010970  0.001283  0.000500       -3        1
  1889   16.044700  -30.37330    1.580340   2.21648 -0.140957 -0.010970 -0.140957   1.030600  0.001284 -0.010970  0.001284  0.000500       -3        1
  2131   16.033000  -30.37260    1.579990   2.21634 -0.140957 -0.010969 -0.140957   1.030600  0.001284 -0.010969  0.001284  0.000500       -3        1
  2199   16.028000  -30.37550    1.579910   2.21638 -0.140990 -0.010970 -0.140990   1.030610  0.001284 -0.010970  0.001284  0.000500       -3        1
  2325   16.040100  -30.37070    1.580430   2.21645 -0.141035 -0.010970 -0.141035   1.030610  0.001284 -0.010970  0.001284  0.000500       -3        1
  2387   16.044600  -30.37380    1.580280   2.21647 -0.140936 -0.010970 -0.140936   1.030590  0.001284 -0.010970  0.001284  0.000500       -3        1
  2512   16.052800  -30.36410    1.580560   2.21636 -0.140933 -0.010969 -0.140933   1.030590  0.001284 -0.010969  0.001284  0.000500       -3        1
  2576   16.043800  -30.37780    1.580230   2.21654 -0.140933 -0.010970 -0.140933   1.030590  0.001283 -0.010970  0.001283  0.000500       -3        1
  2702   16.037000  -30.37330    1.580120   2.21640 -0.140962 -0.010970 -0.140962   1.030600  0.001284 -0.010970  0.001284  0.000500       -3        1
  2827   16.021800  -30.37120    1.579810   2.21625 -0.141016 -0.010969 -0.141016   1.030610  0.001284 -0.010969  0.001284  0.000500       -3        1
  2888   16.037000  -30.37410    1.580160   2.21644 -0.140979 -0.010970 -0.140979   1.030600  0.001284 -0.010970  0.001284  0.000500       -3        1
  3131   16.042500  -30.37910    1.580140   2.21655 -0.140918 -0.010970 -0.140918   1.030590  0.001283 -0.010970  0.001283  0.000500       -3        1
  3200   16.044700  -30.37310    1.580080   2.21639 -0.140864 -0.010970 -0.140864   1.030580  0.001283 -0.010970  0.001283  0.000500       -3        1
  3324   16.036400  -30.38630    1.579790   2.21658 -0.140869 -0.010970 -0.140869   1.030580  0.001283 -0.010970  0.001283  0.000500       -3        1
  3387   16.060200  -30.37160    1.580270   2.21642 -0.140758 -0.010970 -0.140758   1.030550  0.001282 -0.010970  0.001282  0.000500       -3        1
  3514   16.077400  -30.35340    1.579930   2.21590 -0.140422 -0.010967 -0.140422   1.030470  0.001279 -0.010967  0.001279  0.000500       -3        1
  3576   16.088600  -30.36200    1.580220   2.21620 -0.140416 -0.010969 -0.140416   1.030470  0.001279 -0.010969  0.001279  0.000500       -3        1
  3700   16.071600  -30.37980    1.580300   2.21662 -0.140655 -0.010970 -0.140655   1.030530  0.001281 -0.010970  0.001281  0.000500       -3        1
  3825   16.045600  -30.36120    1.580280   2.21619 -0.140906 -0.010969 -0.140906   1.030590  0.001283 -0.010969  0.001283  0.000500       -3        1
  3889   16.010400  -30.38540    1.579900   2.21659 -0.141193 -0.010970 -0.141193   1.030650  0.001286 -0.010970  0.001286  0.000500       -3        1
  4128   16.043200  -30.34860    1.580030   2.21583 -0.140828 -0.010967 -0.140828   1.030570  0.001283 -0.010967  0.001283  0.000500       -3        1
  4201   16.042600  -30.34610    1.580070   2.21579 -0.140847 -0.010967 -0.140847   1.030570  0.001283 -0.010967  0.001283  0.000500       -3        1
  4325   16.016800  -30.39070    1.579940   2.21672 -0.141144 -0.010971 -0.141144   1.030640  0.001285 -0.010971  0.001285  0.000500       -3        1
  4387   16.046300  -30.39210    1.580130   2.21682 -0.140889 -0.010972 -0.140889   1.030580  0.001283 -0.010972  0.001283  0.000500       -3        1
  4512   16.035800  -30.34820    1.580300   2.21590 -0.141003 -0.010967 -0.141003   1.030600  0.001284 -0.010967  0.001284  0.000500       -3        1
  4577   16.015200  -30.35470    1.579920   2.21592 -0.141103 -0.010967 -0.141103   1.030630  0.001285 -0.010967  0.001285  0.000500       -3        1
  4699   16.051700  -30.38680    1.580080   2.21669 -0.140805 -0.010971 -0.140805   1.030560  0.001282 -0.010971  0.001282  0.000500       -3        1
  4829   16.018600  -30.35830    1.579880   2.21598 -0.141057 -0.010968 -0.141057   1.030620  0.001285 -0.010968  0.001285  0.000500       -3        1
