n_time      pose_x      pose_y  pose_theta     cov_11     cov_12    cov_13     cov_21     cov_22    cov_23    cov_31    cov_32    cov_33   tick_L   tick_R
  1156 -165.972000  -89.094500    1.512590    3.99670   4.819630 -0.016931   4.819630   9.253220 -0.028519 -0.016931 -0.028519  0.000500        0        1
  2969 -165.924000  -88.983500    1.513030    3.99378   4.817400 -0.016923   4.817400   9.253180 -0.028519 -0.016923 -0.028519  0.000500        9        1
  3031 -165.867000  -88.785600    1.514090    6.01277   4.813170 -0.016911   4.813170  11.273600 -0.028514 -0.016911 -0.028514  0.001900       22        1
  3094 -165.885000  -88.828900    1.513240    3.98873   4.813590 -0.016909   4.813590   9.253550 -0.028520 -0.016909 -0.028520  0.000500       38      106
  3156 -165.988000  -88.689500    1.512660    3.98256   4.807510 -0.016891   4.807510   9.249930 -0.028514 -0.016891 -0.028514  0.000500       92      187
  3219 -165.832000  -88.563600    1.514030    3.98127   4.807150 -0.016888   4.807150   9.251400 -0.028517 -0.016888 -0.028517  0.000500      187      259
  3344 -167.117000  -90.017900    1.508250    3.39445   3.858230 -0.013647   3.858230   7.641710 -0.023075 -0.013647 -0.023075  0.000476     1248      778
  3406 -166.016000  -88.016700    1.513280    5.95772   4.787730 -0.016829   4.787730  11.239300 -0.028502 -0.016829 -0.028502  0.001900     1781     1289
  3469 -165.824000  -88.138100    1.512830    3.96313   4.793910 -0.016836   4.793910   9.255690 -0.028526 -0.016836 -0.028526  0.000500     2644     2094
  3531 -165.703000  -87.944400    1.512270    3.95444   4.789620 -0.016812   4.789620   9.264210 -0.028542 -0.016812 -0.028542  0.000500     3259     3127
  3594 -165.693000  -87.505400    1.512600    3.94022   4.777090 -0.016771   4.777090   9.261370 -0.028538 -0.016771 -0.028538  0.000500     4432     4374
  3656 -165.562000  -87.256300    1.512950    3.93202   4.771990 -0.016747   4.771990   9.265870 -0.028546 -0.016747 -0.028546  0.000500     5869     5475
  3719 -165.777000  -86.894200    1.513620    5.86999   4.758590 -0.016718   4.758590  11.197100 -0.028517 -0.016718 -0.028517  0.001900     7354     6841
  3781 -165.485000  -86.831100    1.513150    3.91731   4.760790 -0.016706   4.760790   9.266990 -0.028550 -0.016706 -0.028550  0.000500     8971     8581
  3969 -165.528000  -85.749500    1.512540    3.87804   4.727820 -0.016593   4.727820   9.262180 -0.028545 -0.016593 -0.028545  0.000500    15227    15291
  4031 -165.307000  -84.933300    1.515110    3.85574   4.709130 -0.016530   4.709130   9.258460 -0.028540 -0.016530 -0.028540  0.000500    17675    17666
  4094 -165.296000  -84.400000    1.515010    3.83671   4.693530 -0.016476   4.693530   9.256680 -0.028539 -0.016476 -0.028539  0.000500    20751    20622
  4156 -165.366000  -83.620200    1.514750    3.80916   4.669370 -0.016396   4.669370   9.250100 -0.028530 -0.016396 -0.028530  0.000500    23568    23477
  4219 -165.328000  -82.858900    1.514970    3.78343   4.647740 -0.016322   4.647740   9.247460 -0.028528 -0.016322 -0.028528  0.000500    26486    26717
  4281 -165.178000  -82.155600    1.516070    3.76168   4.630240 -0.016259   4.630240   9.247400 -0.028530 -0.016259 -0.028530  0.000500    29646    30008
  4406 -165.093000  -81.350700    1.516320    3.73460   4.608070 -0.016180   4.608070   9.247220 -0.028533 -0.016180 -0.028533  0.000500    37831    38004
  4531 -165.265000  -79.155600    1.516410    5.26472   4.541270 -0.015962   4.541270  10.830400 -0.028503 -0.015962 -0.028503  0.001900    46267    46543
  4594 -165.125000  -78.238500    1.516660    3.63014   4.516630 -0.015871   4.516630   9.228650 -0.028510 -0.015871 -0.028510  0.000500    51620    52109
  4656 -165.086000  -76.989000    1.517290    3.59000   4.481180 -0.015751   4.481180   9.222220 -0.028503 -0.015751 -0.028503  0.000500    56502    57050
  4719 -164.974000  -75.829500    1.518050    3.55325   4.449570 -0.015640   4.449570   9.219940 -0.028502 -0.015640 -0.028502  0.000500    61539    62231
  4781 -164.928000  -74.512600    1.519140    3.51259   4.412790 -0.015517   4.412790   9.211870 -0.028492 -0.015517 -0.028492  0.000500    66918    67552
  4953 -165.001000  -70.160500    1.519600    3.37345   4.285160 -0.015085   4.285160   9.186100 -0.028459 -0.015085 -0.028459  0.000500    84018    84936
  5031 -165.140000  -68.783400    1.519360    3.32943   4.242830 -0.014946   4.242830   9.172800 -0.028440 -0.014946 -0.028440  0.000500    89180    90350
  5094 -165.184000  -67.565400    1.521240    3.29558   4.208900 -0.014838   4.208900   9.157840 -0.028417 -0.014838 -0.028417  0.000500    95178    96542
  5156 -165.126000  -66.300900    1.522270    3.25860   4.174090 -0.014719   4.174090   9.152000 -0.028410 -0.014719 -0.028410  0.000500   100501   101846
  5219 -164.885000  -64.749600    1.522760    3.21190   4.132760 -0.014567   4.132760   9.157620 -0.028424 -0.014567 -0.028424  0.000500   105862   107154
  5281 -164.805000  -63.285000    1.522910    3.16798   4.091420 -0.014421   4.091420   9.156000 -0.028424 -0.014421 -0.028424  0.000500   111168   112530
  5344 -164.687000  -62.023900    1.523570    3.13152   4.057140 -0.014299   4.057140   9.155480 -0.028426 -0.014299 -0.028426  0.000500   117394   118862
  5406 -164.735000  -60.717200    1.523270    3.09198   4.018180 -0.014166   4.018180   9.148560 -0.028417 -0.014166 -0.028417  0.000500   122798   124383
  5469 -164.693000  -59.134300    1.524040    3.04698   3.973750 -0.014013   3.973750   9.142220 -0.028409 -0.014013 -0.028409  0.000500   128427   130058
  5531 -164.591000  -57.609200    1.524690    3.00389   3.931660 -0.013865   3.931660   9.140090 -0.028408 -0.013865 -0.028408  0.000500   134345   136056
  5594 -164.322000  -56.150100    1.525400    2.96338   3.893670 -0.013723   3.893670   9.147920 -0.028425 -0.013723 -0.028425  0.000500   141472   143298
  5719 -164.299000  -54.539000    1.525020    2.91685   3.846700 -0.013559   3.846700   9.144550 -0.028422 -0.013559 -0.028422  0.000500   154344   156245
  5781 -164.071000  -52.603100    1.526930    2.86629   3.796090 -0.013379   3.796090   9.144860 -0.028426 -0.013379 -0.028426  0.000500   161053   163060
  5953 -163.818000  -47.157100    1.527280    2.71859   3.641920 -0.012835   3.641920   9.139620 -0.028427 -0.012835 -0.028427  0.000500   183452   185522
  6031 -163.571000  -44.992200    1.528330    2.66363   3.583750 -0.012625   3.583750   9.144170 -0.028438 -0.012625 -0.028438  0.000500   190987   193125
  6094 -163.543000  -43.027800    1.527950    2.61213   3.526630 -0.012426   3.526630   9.140390 -0.028434 -0.012426 -0.028434  0.000500   200020   202190
  6156 -163.560000  -41.038900    1.528730    2.56274   3.470210 -0.012233   3.470210   9.131120 -0.028421 -0.012233 -0.028421  0.000500   207822   210141
  6219 -163.517000  -41.376200    1.507480    7.95754   3.445070 -0.012105   3.445070  14.608700 -0.028512 -0.012105 -0.028512  0.027500   215815   218113
  6281 -163.253000  -36.331300    1.529680    2.44781   3.339130 -0.011768   3.339130   9.132170 -0.028428 -0.011768 -0.028428  0.000500   223801   226232
  6344 -163.341000  -34.433600    1.527700    2.91155   3.279990 -0.011563   3.279990   9.638040 -0.028419 -0.011563 -0.028419  0.001900   232883   235551
  6406 -163.403000  -32.259900    1.527560    2.83175   3.216360 -0.011345   3.216360   9.599720 -0.028404 -0.011345 -0.028404  0.001900   240634   243504
  6469 -162.701000  -29.169100    1.535660    7.18287   3.148900 -0.011093   3.148900  14.026300 -0.028438 -0.011093 -0.028438  0.027500   248606   251492
  6594 -162.820000  -27.049900    1.534960    2.24110   3.085410 -0.010877   3.085410   9.122250 -0.028420 -0.010877 -0.028420  0.000500   265920   268701
  6656 -162.740000  -25.274400    1.534730    2.20162   3.034680 -0.010697   3.034680   9.122910 -0.028423 -0.010697 -0.028423  0.000500   273506   276305
  6781 -159.385000  -21.281400    1.531570    5.42735   2.944530 -0.010260   2.944540  12.627400 -0.028751 -0.010260 -0.028751  0.030800   288265   291521
  6953 -162.310000  -14.421900    1.533730    2.34766   2.724450 -0.009601   2.724450   9.494570 -0.028429 -0.009601 -0.028429  0.001900   311296   314733
  7031 -162.017000  -11.366400    1.541970    2.28985   2.655820 -0.009356   2.655820   9.488020 -0.028438 -0.009356 -0.028438  0.001900   318756   322131
  7094 -162.381000   -9.842870    1.534970    2.24270   2.594820 -0.009152   2.594820   9.459570 -0.028404 -0.009152 -0.028404  0.001900   327397   330940
  7156 -162.355000   -7.059890    1.540950    6.03976   2.527490 -0.008918   2.527490  13.292300 -0.028393 -0.008918 -0.028393  0.027500   334783   338501
  7219 -162.429000   -5.085770    1.538990    1.80983   2.466330 -0.008706   2.466330   9.092880 -0.028381 -0.008706 -0.028381  0.000500   342204   346073
  7282 -162.865000   -3.505930    1.538090    1.58050   1.865390 -0.006667   1.865390   7.294420 -0.022370 -0.006667 -0.022370  0.000475   349780   353539
  7344 -162.340000   -0.957923    1.540710    1.74158   2.352450 -0.008306   2.352450   9.090420 -0.028377 -0.008306 -0.028377  0.000500   358536   362154
  7469 -162.475000    0.990960    1.539240    1.70765   2.292640 -0.008100   2.292640   9.079280 -0.028358 -0.008100 -0.028358  0.000500   373266   377051
